Feature,Subgroup,Sample Size,Readmission Count,Readmission Rate,Selection Rate,Precision,Recall,False Positive Rate,AUC-ROC
race,Caucasian,14743,1714,0.1162585633860137,0.5466323000746117,0.16143442114406253,0.7590431738623103,0.5186890782101466,0.6808530884295181
race,Hispanic,410,32,0.07804878048780488,0.43902439024390244,0.15,0.84375,0.40476190476190477,0.7829861111111112
race,AfricanAmerican,3809,419,0.11000262536098714,0.5292727750065634,0.15178571428571427,0.7303102625298329,0.504424778761062,0.6685083884230609
race,?,475,48,0.10105263157894737,0.39789473684210525,0.14285714285714285,0.5625,0.3793911007025761,0.6678864168618266
race,Asian,128,20,0.15625,0.4453125,0.2982456140350877,0.85,0.37037037037037035,0.8069444444444445
race,Other,304,30,0.09868421052631579,0.47039473684210525,0.13286713286713286,0.6333333333333333,0.45255474452554745,0.6348540145985401
gender,Male,9218,1061,0.11510088956389672,0.5126925580386201,0.16694879390605163,0.7436380772855796,0.4826529361284786,0.6902404357832854
gender,Female,10651,1202,0.1128532532156605,0.5556285794761056,0.1534302129097668,0.7554076539101497,0.5302148375489469,0.6717704591194449
age,[70-80),5027,581,0.11557589019295803,0.6057290630594788,0.1497536945812808,0.7848537005163512,0.5823211875843455,0.669975641916035
age,[50-60),3378,339,0.10035523978685613,0.37921847246891655,0.16549570647931303,0.6253687315634219,0.3517604475156301,0.6946232895660251
age,[40-50),1943,235,0.12094698919197118,0.41379310344827586,0.2027363184079602,0.6936170212765957,0.3752927400468384,0.7200396133339977
age,[80-90),3262,403,0.12354383813611282,0.7106069895769467,0.15142364106988784,0.8709677419354839,0.6880027981811823,0.6530207598311717
age,[60-70),4496,511,0.11365658362989324,0.5246886120996441,0.15811784654514624,0.7299412915851272,0.4983688833124216,0.666081464984887
age,[90-100),523,71,0.13575525812619502,0.7361376673040153,0.14545454545454545,0.7887323943661971,0.7278761061946902,0.6084070796460177
age,[30-40),721,72,0.09986130374479889,0.3855755894590846,0.1906474820143885,0.7361111111111112,0.34668721109399075,0.7666281458654339
age,[20-30),338,41,0.12130177514792899,0.4260355029585799,0.2013888888888889,0.7073170731707317,0.3872053872053872,0.7636117270263612
age,[10-20),146,10,0.0684931506849315,0.2054794520547945,0.13333333333333333,0.4,0.19117647058823528,0.6441176470588235
age,[0-10),35,0,0.0,0.0,0.0,0.0,0.0,
